# downloaded from https://web.williams.edu/Astronomy/research/PN/nebulae/search/index.php
# wavelength (angstrom), flux
4104.70133590699,2.381863E-14
4107.58715248108,1.259914E-14
4110.47296905518,6.085623E-15
4113.35878562928,3.965799E-15
4116.24460220337,3.372191E-15
4119.13041877747,3.557230E-15
4122.01623535157,3.537180E-15
4124.90205192566,3.414766E-15
4127.78786849976,3.495256E-15
4130.67368507386,3.518021E-15
4133.55950164795,3.277761E-15
4136.44531822205,3.189823E-15
4139.33113479615,3.465880E-15
4142.21695137024,3.599177E-15
4145.10276794434,3.378298E-15
4147.98858451844,3.005020E-15
4150.87440109253,3.039564E-15
4153.76021766663,3.221272E-15
4156.64603424073,3.302495E-15
4159.53185081482,3.225270E-15
4162.41766738892,3.362060E-15
4165.30348396302,3.377737E-15
4168.18930053711,3.330981E-15
4171.07511711121,3.267741E-15
4173.96093368531,3.217418E-15
4176.8467502594,3.115190E-15
4179.7325668335,3.532563E-15
4182.6183834076,3.363219E-15
4185.50419998169,3.604829E-15
4188.39001655579,3.662192E-15
4191.27583312989,4.039696E-15
4194.16164970398,4.605549E-15
4197.04746627808,5.289338E-15
4199.93328285218,5.121215E-15
4202.81909942627,4.578714E-15
4205.70491600037,3.731286E-15
4208.59073257447,3.047285E-15
4211.47654914856,2.023060E-16
4214.36236572266,1.849078E-15
4217.24818229676,3.490816E-15
4220.13399887085,3.326273E-15
4223.01981544495,3.687323E-15
4225.90563201905,3.815611E-15
4228.79144859314,3.474604E-15
4231.67726516724,3.543756E-15
4234.56308174134,3.497841E-15
4237.44889831543,3.524571E-15
4240.33471488953,3.033244E-15
4243.22053146363,2.940871E-15
4246.10634803772,3.023380E-15
4248.99216461182,3.572195E-15
4251.87798118592,3.302611E-15
4254.76379776001,3.216109E-15
4257.64961433411,3.199324E-15
4260.53543090821,3.531893E-15
4263.4212474823,3.381055E-15
4266.3070640564,3.548675E-15
4269.1928806305,3.516504E-15
4272.0786972046,3.687101E-15
4274.96451377869,3.308000E-15
4277.85033035279,3.179173E-15
4280.73614692689,3.182800E-15
4283.62196350098,3.064814E-15
4286.50778007508,3.183826E-15
4289.39359664917,3.197339E-15
4292.27941322327,3.121622E-15
4295.16522979737,3.045653E-15
4298.05104637147,3.142699E-15
4300.93686294556,3.188687E-15
4303.82267951966,3.248915E-15
4306.70849609376,3.304589E-15
4309.59431266785,3.221725E-15
4312.48012924195,3.292999E-15
4315.36594581605,3.463776E-15
4318.25176239014,3.362473E-15
4321.13757896424,3.449054E-15
4324.02339553834,3.915449E-15
4326.90921211243,5.827683E-15
4329.79502868653,1.204301E-14
4332.68084526063,2.699336E-14
4335.56666183472,4.813474E-14
