time,x,y,stellar_vel,stellar_sigma,emline_ha,emline_hb,emline_oiii4960,emline_oiii5008,timedelta
15:21:49.269455,38,41,4.906012,159.6681,97.53407,13.311933,4.111793,11.74798,1.951101
15:21:49.278592,39,41,8.640414,165.2051,93.06174,13.170729,4.14336,11.838171,1.960238
15:21:49.285786,39,41,8.640414,165.2051,93.06174,13.170729,4.14336,11.838171,1.967432
15:21:49.293717,39,41,8.640414,165.2051,93.06174,13.170729,4.14336,11.838171,1.975363
15:21:49.302204,39,42,5.697781,159.00671,55.524548,8.786435,2.7175202,7.7643437,1.98385
15:21:49.310934,40,42,9.373103,164.61595,46.383324,7.997931,2.5229511,7.2084317,1.99258
15:21:49.318592,40,42,9.373103,164.61595,46.383324,7.997931,2.5229511,7.2084317,2.000238
15:21:49.327645,40,42,9.373103,164.61595,46.383324,7.997931,2.5229511,7.2084317,2.009291
15:21:49.335669,40,42,9.373103,164.61595,46.383324,7.997931,2.5229511,7.2084317,2.017315
15:21:49.344615,39,43,0.2462265,159.37106,29.546747,5.1657457,1.6102815,4.6008043,2.026261
15:21:49.352690,39,43,0.2462265,159.37106,29.546747,5.1657457,1.6102815,4.6008043,2.034336
15:21:49.361370,39,43,0.2462265,159.37106,29.546747,5.1657457,1.6102815,4.6008043,2.043016
15:21:49.369898,38,43,-1.1260557,149.09401,33.157074,5.6390824,1.7015296,4.861513,2.051544
15:21:49.378427,38,44,-6.103687,153.68587,18.32801,3.2419262,0.9819459,2.8055596,2.060073
15:21:49.386410,37,44,-7.103572,136.06079,19.725653,3.4440632,0.9787926,2.7965503,2.068056
15:21:49.394768,37,44,-7.103572,136.06079,19.725653,3.4440632,0.9787926,2.7965503,2.076414
15:21:49.402969,37,44,-7.103572,136.06079,19.725653,3.4440632,0.9787926,2.7965503,2.084615
15:21:49.411527,36,44,-6.4042277,121.59887,17.91498,3.357983,0.908835,2.5966713,2.093173
15:21:49.419859,36,44,-6.4042277,121.59887,17.91498,3.357983,0.908835,2.5966713,2.101505
15:21:49.427635,36,44,-6.4042277,121.59887,17.91498,3.357983,0.908835,2.5966713,2.109281
15:21:49.435896,36,45,-9.7731,124.729195,11.146321,2.0823047,0.56055224,1.6015779,2.117542
15:21:49.444699,36,45,-9.7731,124.729195,11.146321,2.0823047,0.56055224,1.6015779,2.126345
15:21:50.570156,36,34,49.697605,143.04404,180.1009,27.935898,7.412393,21.178267,3.251802
15:21:50.575560,36,34,49.697605,143.04404,180.1009,27.935898,7.412393,21.178267,3.257206
15:21:50.587780,37,34,46.784664,149.34886,211.45967,33.948483,9.062018,25.891481,3.269426
15:21:50.595603,38,34,43.733017,152.45091,228.56488,38.261467,10.514941,30.042688,3.277249
15:21:50.605344,38,33,53.21647,139.63223,153.58728,25.031183,6.775304,19.358011,3.28699
15:21:50.612680,42,32,53.478416,82.07667,51.243614,10.933827,3.5657322,10.187807,3.294326
